VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,12/18/2019 15:52,12/18/2019 15:54,N,1,264,264,5,0,3.5,0.5,0.5,0.01,0,,0.3,4.81,1,1,0
2,1/1/2020 0:45,1/1/2020 0:56,N,5,66,65,2,1.28,20,0,0,4.06,0,,0.3,24.36,1,2,0
2,1/1/2020 0:41,1/1/2020 0:52,N,1,181,228,1,2.47,10.5,0.5,0.5,3.54,0,,0.3,15.34,1,1,0
1,1/1/2020 0:52,1/1/2020 1:14,N,1,129,263,2,6.3,21,3.25,0.5,0,0,,0.3,25.05,2,1,2.75
1,1/1/2020 0:19,1/1/2020 0:30,N,1,210,150,1,2.3,10,0.5,0.5,0,0,,0.3,11.3,1,1,0
1,1/1/2020 0:52,1/1/2020 1:09,N,1,35,39,1,3,13.5,0.5,0.5,0,0,,0.3,14.8,1,1,0
2,1/1/2020 0:10,1/1/2020 0:22,N,1,25,61,1,2.77,11,0.5,0.5,0,0,,0.3,12.3,2,1,0
2,1/1/2020 1:03,1/1/2020 1:29,N,1,225,89,1,4.98,20.5,0.5,0.5,0,0,,0.3,21.8,2,1,0
2,1/1/2020 0:04,1/1/2020 0:09,N,1,129,129,1,0.71,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,1/1/2020 0:25,1/1/2020 0:32,N,1,129,83,1,0.8,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,1/1/2020 0:47,1/1/2020 0:59,N,1,82,173,1,1.52,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
1,1/1/2020 0:26,1/1/2020 0:40,N,1,74,69,1,3.8,14,0.5,0.5,0,0,,0.3,15.3,2,1,0
2,1/1/2020 0:38,1/1/2020 0:46,N,1,74,41,1,1.12,6.5,0.5,0.5,0,0,,0.3,7.8,1,1,0
2,1/1/2020 0:52,1/1/2020 1:09,N,1,41,127,1,5.67,19,0.5,0.5,0,0,,0.3,20.3,2,1,0
2,1/1/2020 0:16,1/1/2020 0:26,N,1,7,260,1,1.86,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
2,1/1/2020 0:21,1/1/2020 0:28,N,1,7,7,1,1.42,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,1/1/2020 0:35,1/1/2020 1:02,N,1,7,133,1,15.48,43,0.5,0.5,8.86,0,,0.3,53.16,1,1,0
2,1/1/2020 0:39,1/1/2020 0:42,N,1,134,28,1,1.15,5.5,0.5,0.5,1,0,,0.3,7.8,1,1,0
1,1/1/2020 0:00,1/1/2020 0:10,N,1,89,39,1,2.3,10,0.5,0.5,0,0,,0.3,11.3,2,1,0
