VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,1/1/2020 0:28,1/1/2020 0:33,1,1.2,1,N,238,239,1,6,3,0.5,1.47,0,0.3,11.27,2.5
1,1/1/2020 0:35,1/1/2020 0:43,1,1.2,1,N,239,238,1,7,3,0.5,1.5,0,0.3,12.3,2.5
1,1/1/2020 0:47,1/1/2020 0:53,1,0.6,1,N,238,238,1,6,3,0.5,1,0,0.3,10.8,2.5
1,1/1/2020 0:55,1/1/2020 1:00,1,0.8,1,N,238,151,1,5.5,0.5,0.5,1.36,0,0.3,8.16,0
2,1/1/2020 0:01,1/1/2020 0:04,1,0,1,N,193,193,2,3.5,0.5,0.5,0,0,0.3,4.8,0
2,1/1/2020 0:09,1/1/2020 0:10,1,0.03,1,N,7,193,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,1/1/2020 0:39,1/1/2020 0:39,1,0,1,N,193,193,1,2.5,0.5,0.5,0.01,0,0.3,3.81,0
2,12/18/2019 15:27,12/18/2019 15:28,1,0,5,N,193,193,1,0.01,0,0,0,0,0.3,2.81,2.5
2,12/18/2019 15:30,12/18/2019 15:31,4,0,1,N,193,193,1,2.5,0.5,0.5,0,0,0.3,6.3,2.5
1,1/1/2020 0:29,1/1/2020 0:40,2,0.7,1,N,246,48,1,8,3,0.5,2.35,0,0.3,14.15,2.5
1,1/1/2020 0:55,1/1/2020 1:12,2,2.4,1,N,246,79,1,12,3,0.5,1.75,0,0.3,17.55,2.5
1,1/1/2020 0:37,1/1/2020 0:51,1,0.8,1,N,163,161,2,9.5,3,0.5,0,0,0.3,13.3,2.5
1,1/1/2020 0:56,1/1/2020 1:21,1,3.3,1,N,161,144,1,17,3,0.5,4.15,0,0.3,24.95,2.5
2,1/1/2020 0:21,1/1/2020 0:27,1,1.07,1,N,43,239,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
2,1/1/2020 0:38,1/1/2020 1:15,1,7.76,1,N,143,25,1,28.5,0.5,0.5,4.84,0,0.3,37.14,2.5
1,1/1/2020 0:15,1/1/2020 0:27,3,1.6,1,N,211,234,2,9,3,0.5,0,0,0.3,12.8,2.5
1,1/1/2020 0:41,1/1/2020 0:44,1,0.5,1,Y,234,90,1,4,3,0.5,1,0,0.3,8.8,2.5
1,1/1/2020 0:56,1/1/2020 1:13,1,1.7,1,N,246,142,2,11.5,3,0.5,0,0,0.3,15.3,2.5
2,1/1/2020 0:08,1/1/2020 0:25,1,8.45,1,N,138,216,2,24.5,0.5,0.5,0,0,0.3,25.8,0
